Date,Open,High,Low,Close,Volume,Adj Close
2014-09-26,65.50,65.85,65.25,65.60,23158000,64.04
2014-09-25,66.70,66.85,65.70,65.95,23032000,64.38
2014-09-24,66.55,66.80,66.30,66.55,25167000,64.96
2014-09-23,66.90,67.00,66.65,66.80,14754000,65.21
2014-09-22,67.35,67.35,66.55,66.95,27031000,65.35
2014-09-19,68.20,68.25,67.85,68.00,12106000,66.38
2014-09-18,67.70,68.05,67.60,67.85,16226000,66.23
2014-09-17,67.50,68.20,67.45,67.70,16509000,66.09
2014-09-16,67.65,67.65,67.15,67.20,17987000,65.60
2014-09-15,67.15,67.75,67.15,67.75,13108000,66.14
2014-09-12,68.40,68.40,67.60,67.75,19493000,66.14
2014-09-11,68.70,68.70,68.40,68.40,8664000,66.77
2014-09-10,68.95,68.95,68.05,68.65,17836000,67.01
2014-09-09,69.40,69.50,69.25,69.25,7405000,67.60
2014-09-05,69.30,69.30,68.65,69.00,7386000,67.36
2014-09-04,69.00,69.15,68.80,69.00,5373000,67.36
2014-09-03,68.90,69.45,68.85,69.25,6859000,67.60
2014-09-02,69.70,69.70,68.60,68.75,17711000,67.11
2014-09-01,69.25,69.95,69.25,69.80,5257000,68.14
2014-08-29,69.05,69.30,68.85,69.20,2404000,67.55
2014-08-28,69.25,69.45,69.20,69.35,3864000,67.70
2014-08-27,68.95,69.40,68.95,69.25,7577000,67.60
2014-08-26,68.60,68.80,68.55,68.60,1728000,66.97
2014-08-25,68.75,68.90,68.60,68.65,2943000,67.01
2014-08-22,68.10,68.95,68.10,68.75,7520000,67.11
2014-08-21,68.00,68.10,67.80,67.90,3043000,66.28
2014-08-20,67.70,68.05,67.70,68.00,8450000,66.38
2014-08-19,67.30,67.75,67.00,67.75,6633000,66.14
2014-08-18,67.10,67.10,66.60,66.90,2411000,65.31
2014-08-15,67.10,67.25,66.75,67.10,3883000,65.50
2014-08-14,67.00,67.25,66.95,67.10,5964000,65.50
2014-08-13,66.15,66.75,66.05,66.75,5189000,65.16
2014-08-12,66.00,66.30,65.85,66.10,4354000,64.52
2014-08-11,66.00,66.15,65.75,66.05,8071000,64.48
2014-08-08,65.45,65.70,65.05,65.70,14238000,64.13
2014-08-07,65.75,65.90,65.40,65.70,5990000,64.13
2014-08-06,65.30,65.75,65.05,65.70,6844000,64.13
2014-08-05,66.40,66.40,65.10,65.25,19556000,63.70
2014-08-04,66.20,66.70,66.10,66.60,3741000,65.01
2014-07-31,67.85,67.85,66.60,66.75,11115000,65.16
2014-07-30,67.45,67.95,67.45,67.85,2795000,66.23
2014-07-29,67.75,67.95,67.20,67.45,7197000,65.84
2014-07-28,67.45,67.80,67.30,67.50,2758000,65.89
2014-07-25,68.40,68.40,67.45,67.65,5538000,66.04
2014-07-24,68.30,68.40,68.10,68.40,3821000,66.77
2014-07-22,67.70,68.20,67.50,68.10,4145000,66.48
2014-07-21,67.75,67.95,67.50,67.50,5298000,65.89
2014-07-18,67.05,67.60,67.00,67.50,6363000,65.89
