Date,Open,High,Low,Close,Volume,Adj Close
2014-08-06,9148.36035,9163.80957,9070.08984,9143.96973,2616100,9143.96973
2014-08-05,9316.82031,9316.82031,9141.44043,9141.44043,2611000,9141.44043
2014-08-04,9280.29004,9330.19043,9258.17969,9330.19043,2281900,9330.19043
2014-08-01,9223.75,9274.63965,9201.83008,9266.50977,2400600,9266.50977
2014-07-31,9436.04004,9438.96973,9313.87012,9315.84961,2521900,9315.84961
2014-07-30,9409.62012,9456.03027,9398.82031,9447.01953,2519700,9447.01953
2014-07-29,9457.7998,9483.75,9357.32031,9391.87988,3528000,9391.87988
2014-07-28,9415.90039,9460.42969,9385.55957,9420.17969,2509800,9420.17969
2014-07-25,9519.99023,9528.7002,9412.48047,9439.29004,2532200,9439.29004
2014-07-24,9508.25977,9538.07031,9483.51953,9527.54004,2684600,9527.54004
2014-07-23,9453.23047,9499.36035,9418.74023,9499.36035,2277700,9499.36035
2014-07-22,9453.23047,9499.36035,9418.74023,9499.36035,2277700,9499.36035
2014-07-21,9453.78027,9480.13965,9426.2998,9440.96973,2228000,9440.96973
2014-07-18,9335.37988,9421.33984,9335.37988,9400.96973,2324700,9400.96973
2014-07-17,9420.11035,9461.86035,9373.87012,9408.24023,2920100,9408.24023
2014-07-16,9570.33008,9574.12988,9471.65039,9484.73047,3060700,9484.73047
2014-07-15,9558.41992,9593.67969,9547.94043,9569.16992,2960700,9569.16992
2014-07-14,9497.80957,9545.99023,9488.12012,9520.2998,2798700,9520.2998
2014-07-11,9561.70996,9591.26953,9478.07031,9495.83984,3371800,9495.83984
2014-07-10,9512.88965,9568.75,9512.88965,9565.12012,3202100,9565.12012
2014-07-09,9510.00,9522.99023,9478.75977,9489.98047,2679700,9489.98047
2014-07-08,9515.17969,9540.57031,9499.16992,9530.98047,2811300,9530.98047
2014-07-07,9497.26953,9520.2002,9454.66992,9520.2002,2805800,9520.2002
2014-07-04,9525.92969,9550.11035,9482.94043,9510.0498,2889200,9510.0498
2014-07-03,9468.78027,9538.65039,9449.78027,9526.23047,2908200,9526.23047
2014-07-02,9482.00,9547.0498,9421.87012,9484.95996,4105500,9484.95996
2014-07-01,9393.07031,9463.05957,9374.28027,9441.91992,3004800,9441.91992
2014-06-30,9332.44043,9393.07031,9327.88965,9393.07031,2580300,9393.07031
2014-06-27,9316.88965,9330.9502,9303.57031,9306.83008,2252200,9306.83008
2014-06-26,9273.36035,9320.94043,9271.34961,9320.94043,2767400,9320.94043
2014-06-25,9250.12988,9255.87012,9229.7998,9242.16016,1987600,9242.16016
2014-06-24,9232.34961,9276.24023,9232.34961,9246.2002,1913700,9246.2002
2014-06-23,9293.05957,9302.65039,9225.73047,9228.34961,2702500,9228.34961
2014-06-20,9330.34961,9339.83008,9273.79004,9273.79004,2242200,9273.79004
